task_id,group,tail_score,source_share,synthetic_share,source_effect,synthetic_effect
standard_pick_place,head,0.10999999999999999,0.27293404094010615,0.09786321960755963,0.9804999172844442,0.9797970821203266
tabletop_push,head,0.12993607036799668,0.24260803639120546,0.08951691256067155,0.9614636425839308,0.9597386052715842
button_press,head,0.14815921133870177,0.19332827899924185,0.09701529440844753,0.9514622898553589,0.949692626529419
block_stack,medium,0.1913263699174056,0.14404852160727824,0.08321696233869771,0.9345854642848155,0.9287003799240553
door_handle_turn,medium,0.23661770346432393,0.09855951478392722,0.08704334584053056,0.913314069397124,0.9101343040216776
cluttered_drawer_open,tail,0.5364940490893719,0.016679302501895376,0.0689952691335204,0.5994303467941149,0.7553010124484967
reflective_bottle_grasp,tail,0.6078435753080309,0.011751326762699014,0.08639684700901964,0.526680562836303,0.7496407879430429
wet_cloth_fold_corner,tail,0.6539389479684603,0.009855951478392721,0.09825418960982626,0.4471612604443219,0.708085858208183
transparent_cup_pick,tail,0.7416072361927393,0.006823351023502654,0.11933241328658076,0.3808398137645057,0.708517581816394
thin_cable_insert,tail,0.9419999999999704,0.003411675511751327,0.17236554620514602,0.24111607491411938,0.7042849031097452
